feature_id,class_name,x,y,z,views,intersections,mean_res_ft,mean_pair_angle_deg,triangulation_score,conf_mean,touch_count
1,fire hydrant,6050041.767196623,2135949.4953107205,91.71704486588588,8,80,0.243,88.45,0.93,0.629,7
2,fire hydrant,6049887.967075336,2135665.0863570063,85.54243919111855,8,296,0.204,66.83,0.94,0.705,7
3,fire hydrant,6049728.200732479,2135629.511386829,83.14157401408067,8,633,0.248,69.41,0.92,0.731,6
4,fire hydrant,6050275.371623935,2136663.9427509513,100.88492077685946,8,3600,0.195,90.36,0.94,0.631,7
5,fire hydrant,6049878.755454122,2136607.474332595,92.64576089233259,8,118,0.257,43.64,0.92,0.661,7
6,fire hydrant,6050494.551526771,2137019.450409265,106.76198733431892,8,1333,0.28,80.87,0.91,0.592,6
7,fire hydrant,6050387.88386325,2137017.1946799345,104.60652147014844,8,1348,0.246,84.0,0.92,0.721,5
8,fire hydrant,6050249.814504707,2137043.480631806,102.10253718044288,8,150,0.209,52.93,0.93,0.769,7
9,fire hydrant,6050720.847990273,2137524.8926318833,112.97712949723598,8,153,0.199,72.82,0.94,0.633,7
10,fire hydrant,6050933.5131665515,2138288.1375595904,119.72385230044006,8,45,0.299,66.56,0.91,0.667,5
11,fire hydrant,6051148.950679762,2138317.711229313,127.08332584426674,8,72,0.197,49.81,0.94,0.673,8
12,fire hydrant,6050803.431749587,2138465.947663941,117.8744843709279,8,364,0.223,69.26,0.93,0.616,7
13,fire hydrant,6050375.765093364,2137675.7668585996,109.40241704480238,8,971,0.194,84.08,0.94,0.727,7
14,fire hydrant,6050381.31052307,2137395.277906117,107.10701892106371,8,191,0.231,74.43,0.93,0.598,6
15,fire hydrant,6050429.329057626,2137027.090500591,110.39476263982968,5,4,0.245,63.25,0.92,0.577,3
16,fire hydrant,6049614.508144223,2135289.3174489113,76.96233779319388,7,19,0.171,61.37,0.95,0.671,7
17,fire hydrant,6050347.48519338,2136394.208553245,99.3461565088206,6,11,0.143,17.47,0.94,0.656,6
18,fire hydrant,6050636.666651949,2137379.6082043746,110.82123191170193,8,41,0.27,34.0,0.92,0.65,6
19,fire hydrant,6051063.392121538,2138694.807632992,124.76216754054916,8,97,0.308,50.19,0.91,0.606,5
20,fire hydrant,6050386.120078029,2135412.261518244,89.30936287803254,8,1397,0.277,78.99,0.92,0.685,5
21,fire hydrant,6050309.370147989,2135060.2728663916,90.32469429519116,8,284,0.151,40.66,0.95,0.699,8
22,fire hydrant,6049877.959889156,2135330.960446675,80.43706501944743,8,250,0.183,74.18,0.94,0.761,7
23,fire hydrant,6049780.045488734,2134917.7848411924,77.99320006984341,4,5,0.082,17.35,0.96,0.611,4
24,fire hydrant,6050358.081264524,2135722.4479065635,90.79773438598282,8,151,0.197,87.23,0.94,0.675,7
25,fire hydrant,6050340.174226609,2135997.4331639875,94.34259284376108,8,31,0.193,72.57,0.94,0.704,7
26,fire hydrant,6049666.521180374,2135969.9978581197,84.6107158663378,8,20,0.096,15.69,0.95,0.649,8
